Adult Occupant,Belt Pretensioner-Rear,Safety Assist,Child Occupant,Class,Side Pelvis Airbag-Rear,AEB Vulnerable Road Users,Rate
93.0,0,83.0,89.0,1,2,0,1
86.0,0,85.0,81.0,8,2,0,1
91.0,0,80.0,88.0,8,3,0,1
89.0,0,73.0,81.0,8,3,0,1
76.0,0,65.0,82.0,8,2,0,0
69.0,0,59.0,75.0,12,2,0,0
84.0,0,83.0,86.0,6,2,0,1
82.0,0,87.0,85.0,5,2,0,1
85.0,0,79.0,85.0,5,2,0,1
92.0,0,80.0,88.0,8,3,0,1
87.0,0,76.0,83.0,8,2,0,1
91.0,0,73.0,87.0,8,0,0,1
87.0,0,88.0,89.0,8,2,0,1
86.0,0,85.0,81.0,8,2,0,1
95.0,0,74.0,91.0,10,2,0,1
96.0,0,75.0,90.0,10,2,0,1
97.0,0,75.0,90.0,10,2,0,1
96.0,0,72.0,80.0,2,2,0,1
97.0,0,72.0,83.0,2,2,0,1
96.0,0,74.0,83.0,10,2,0,1
73.0,2,55.0,70.0,11,2,0,0
93.0,0,73.0,87.0,4,3,0,1
94.0,0,74.0,84.0,12,2,0,1
92.0,0,76.0,81.0,10,2,0,1
90.0,0,70.0,85.0,8,2,0,1
94.0,0,73.0,85.0,10,2,0,1
81.0,0,55.0,83.0,12,2,0,0
95.0,0,78.0,89.0,8,2,0,1
81.0,0,55.0,83.0,12,2,0,0
81.0,0,55.0,83.0,12,2,0,0
94.0,0,72.0,87.0,8,2,0,1
92.0,0,72.0,86.0,4,3,0,1
92.0,0,73.0,86.0,10,2,0,1
96.0,0,73.0,87.0,2,2,0,1
82.0,0,58.0,84.0,11,2,0,0
91.0,0,68.0,84.0,10,2,0,0
93.0,0,73.0,84.0,10,2,0,1
85.0,0,73.0,83.0,1,2,0,1
96.0,0,74.0,83.0,10,2,0,1
89.0,3,62.0,78.0,3,2,0,0
97.0,0,78.0,91.0,10,2,0,1
98.0,0,94.0,81.0,4,0,0,1
89.0,3,62.0,78.0,3,2,0,0
92.0,0,79.0,88.0,2,3,0,1
87.0,0,76.0,86.0,4,0,0,1
99.0,0,77.0,86.0,10,2,0,1
92.0,0,74.0,88.0,10,2,0,1
84.0,0,69.0,86.0,12,2,0,0
83.0,0,72.0,87.0,8,2,0,1
97.0,0,76.0,87.0,2,2,0,1
80.0,0,69.0,78.0,10,2,0,0
91.0,0,71.0,86.0,12,2,0,0
95.0,0,80.0,85.0,12,2,0,1
97.0,1,76.0,87.0,7,1,0,1
96.0,0,75.0,87.0,8,2,0,1
96.0,0,75.0,91.0,8,2,0,1
96.0,0,75.0,90.0,10,3,0,1
88.0,0,74.0,85.0,8,2,0,1
96.0,0,76.0,85.0,8,2,0,1
87.0,0,63.0,86.0,10,2,0,0
96.0,0,76.0,86.0,10,2,0,1
