Side Chest Airbag-Driver,Side Chest Airbag-Passenger,AEB Vulnerable Road Users,Side Head Airbag-Driver,Side Head Airbag-Passenger,Seatbelt Reminder-Passenger,AEB Car-to-Car,Belt Loadlimiter-Rear,Belt Pretensioner-Rear,Side Head Airbag-Rear,Lane Assist System,Seatbelt Reminder-Rear,Safety Assist,Speed Assistance,Adult Occupant,Centre Airbag-Driver,Child Occupant,Rate,Tested Model,Isofix/i-Size-Passenger
0,0,0,0,0,0,0,0,0,0,1,0,95.0,1,91.0,0,91.0,5,157,1
0,0,0,0,0,0,0,0,2,0,1,0,72.0,1,78.0,2,87.0,4,184,2
0,0,2,1,1,0,1,2,2,2,3,0,14.0,1,43.0,2,52.0,0,187,0
0,0,0,0,0,0,0,0,0,0,1,0,79.0,1,84.0,0,82.0,5,236,2
0,0,0,0,0,0,0,0,0,0,1,0,71.0,1,85.0,2,81.0,5,249,0
0,0,0,0,0,0,0,0,0,0,1,0,82.0,1,92.0,0,86.0,5,64,1
0,0,0,0,0,0,0,0,0,0,1,0,67.0,1,76.0,2,82.0,4,79,1
0,0,0,0,0,0,0,0,0,0,1,0,88.0,1,88.0,0,86.0,5,80,1
0,0,0,0,0,0,0,0,0,0,1,0,70.0,1,86.0,0,87.0,5,86,1
0,0,0,0,0,0,0,0,0,0,1,0,81.0,1,86.0,0,84.0,5,217,1
0,0,0,0,0,0,0,0,0,0,1,0,80.0,1,93.0,0,89.0,5,10,0
0,0,0,0,0,0,0,0,0,0,1,0,81.0,1,96.0,0,87.0,5,117,1
0,0,0,0,0,0,0,0,0,0,1,0,92.0,1,82.0,2,84.0,5,151,1
0,0,0,0,0,0,0,0,0,0,1,0,95.0,1,88.0,2,89.0,5,201,1
0,0,0,0,0,0,0,0,0,0,1,0,82.0,1,88.0,1,85.0,5,215,1
0,0,0,0,0,0,0,0,0,0,1,0,64.0,1,73.0,2,75.0,4,165,0
0,0,0,0,0,0,0,0,2,0,1,0,72.0,1,78.0,2,87.0,4,184,2
0,0,0,0,0,0,0,0,0,0,1,0,63.0,1,80.0,2,83.0,4,34,1
0,0,0,0,0,0,0,0,0,0,1,0,91.0,1,91.0,0,87.0,5,69,1
0,0,0,0,0,0,0,0,0,0,1,0,88.0,1,91.0,0,87.0,5,72,1
0,0,1,0,0,0,0,0,0,0,2,0,42.0,1,70.0,2,72.0,2,45,1
0,0,1,0,0,0,0,0,0,0,2,0,42.0,1,70.0,2,72.0,2,45,1
0,0,0,0,0,0,0,0,0,0,1,0,85.0,1,93.0,0,89.0,5,237,0
0,0,0,0,0,0,0,0,0,0,1,0,82.0,1,94.0,0,89.0,5,248,0
0,0,0,0,0,0,0,0,0,0,1,0,80.0,1,93.0,0,88.0,5,38,0
0,0,0,0,0,0,0,0,0,0,1,0,83.0,1,93.0,0,89.0,5,173,0
0,0,0,0,0,0,0,0,0,0,1,0,85.0,1,86.0,0,81.0,5,219,1
0,0,0,0,0,0,0,0,0,0,1,0,80.0,1,91.0,0,88.0,5,193,0
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,89.0,0,81.0,5,6,2
0,0,0,0,0,0,0,0,0,0,1,0,65.0,1,76.0,2,82.0,4,78,1
0,0,0,0,0,0,0,0,0,0,1,0,59.0,1,69.0,2,75.0,3,87,1
0,0,0,0,0,0,0,0,0,0,1,0,83.0,1,84.0,0,86.0,5,91,1
0,0,0,0,0,0,0,0,0,0,1,0,87.0,1,82.0,0,85.0,5,107,1
0,0,0,0,0,0,0,0,0,0,1,0,79.0,1,85.0,2,85.0,5,110,0
0,0,0,0,0,0,0,0,0,0,1,0,80.0,1,92.0,0,88.0,5,193,0
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,87.0,0,83.0,5,77,1
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,91.0,0,87.0,5,129,1
0,0,0,0,0,0,0,0,0,0,1,0,88.0,1,87.0,0,89.0,5,226,0
0,0,0,0,0,0,0,0,0,0,1,0,85.0,1,86.0,0,81.0,5,218,1
0,0,0,0,0,0,0,0,0,0,1,0,74.0,1,95.0,0,91.0,5,145,1
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,96.0,0,90.0,5,133,1
