Adult Occupant,Child Occupant,Vulnerable Road Users,Safety Assist,Tested Model,Body Type,Year Of Publication,Kerb Weight,VIN From Which Rating Applies,Class,Front Airbag-Driver,Belt Pretensioner-Driver,Belt Loadlimiter-Driver,Knee Airbag-Driver,Side Head Airbag-Driver,Side Chest Airbag-Driver,Side Pelvis Airbag-Driver,Rate
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,0 1,continuous,continuous
,,,,,,,,,,,,,,,,,class
87.0,86.0,61.0,76.0,56.0,11.0,2019.0,2518.0,124.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
99.0,86.0,80.0,77.0,118.0,11.0,2019.0,1420.0,76.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
92.0,88.0,78.0,74.0,139.0,11.0,2019.0,1555.0,20.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
84.0,86.0,66.0,69.0,160.0,14.0,2019.0,1055.0,91.0,12.0,0,0,0,1.0,0.0,0,2.0,4.0
83.0,87.0,76.0,72.0,16.0,14.0,2019.0,1480.0,32.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
97.0,87.0,87.0,76.0,18.0,6.0,2019.0,1530.0,294.0,2.0,0,0,0,0.0,0.0,0,0.0,5.0
80.0,78.0,56.0,69.0,95.0,11.0,2019.0,1906.0,36.0,10.0,0,0,0,0.0,0.0,0,0.0,4.0
91.0,86.0,56.0,71.0,168.0,14.0,2019.0,1053.0,40.0,12.0,0,0,0,1.0,0.0,0,2.0,4.0
95.0,85.0,73.0,80.0,5.0,14.0,2019.0,1105.0,50.0,12.0,0,0,0,1.0,0.0,0,0.0,5.0
97.0,87.0,91.0,76.0,25.0,24.0,2019.0,1495.0,274.0,7.0,0,0,0,0.0,0.0,0,0.0,5.0
96.0,87.0,72.0,75.0,58.0,14.0,2019.0,1312.0,26.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
96.0,91.0,91.0,75.0,136.0,6.0,2019.0,1395.0,74.0,8.0,0,0,0,0.0,0.0,0,0.0,5.0
96.0,90.0,75.0,75.0,146.0,11.0,2019.0,2495.0,111.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
88.0,85.0,68.0,74.0,196.0,11.0,2019.0,1728.0,170.0,8.0,0,0,0,2.0,0.0,0,0.0,5.0
96.0,85.0,80.0,76.0,250.0,14.0,2019.0,1156.0,160.0,8.0,0,0,0,2.0,0.0,0,2.0,5.0
