index,Adult Occupant,Belt Pretensioner-Rear,Safety Assist,Child Occupant,Class,Side Pelvis Airbag-Rear,Rate
84,89.0,0,88.0,87.0,1,0,1
39,88.0,0,92.0,81.0,8,2,1
2,75.0,0,69.0,84.0,12,2,0
68,85.0,0,65.0,86.0,8,2,0
208,96.0,0,75.0,91.0,8,3,1
301,90.0,0,59.0,82.0,9,2,1
253,87.0,0,60.0,84.0,12,2,1
111,94.0,0,82.0,89.0,4,2,1
224,76.0,2,29.0,60.0,9,2,0
32,88.0,0,87.0,83.0,3,2,1
73,85.0,0,79.0,88.0,8,2,1
47,82.0,0,66.0,87.0,1,2,0
126,86.0,0,85.0,81.0,8,2,1
113,93.0,0,83.0,89.0,1,2,1
96,86.0,0,70.0,87.0,10,2,1
225,87.0,0,60.0,85.0,10,2,1
214,89.0,2,81.0,86.0,4,3,1
57,93.0,0,80.0,89.0,8,2,1
123,87.0,0,76.0,83.0,8,2,1
106,91.0,0,91.0,87.0,1,2,1
83,76.0,0,67.0,80.0,12,2,0
17,93.0,0,83.0,89.0,3,2,1
230,71.0,2,29.0,51.0,8,2,0
98,93.0,0,80.0,89.0,4,3,1
